wavelength1,wavelength2,rating
434,434,1.0
434,445,0.9781661504145226
434,465,0.8744164301326335
434,472,0.8744164301326335
434,490,0.751757501701102
434,504,0.5927170834612145
434,537,0.6150326800047523
434,555,0.5340199971093208
434,584,0.4336766652213271
434,600,0.6150326800047523
434,610,0.6514141698131082
434,628,0.6930604153492083
434,651,0.7046477841022789
434,674,0.7347066608853082
445,434,0.9781661504145226
445,445,1.0
445,465,0.8996566681120063
445,472,0.8811508921620624
445,490,0.7808075602740687
445,504,0.6514141698131082
445,537,0.6150326800047523
445,555,0.6150326800047523
445,584,0.4336766652213271
445,600,0.5340199971093208
445,610,0.6150326800047523
445,628,0.680464228386075
445,651,0.7046477841022789
445,674,0.715376011892746
465,434,0.8744164301326335
465,445,0.8996566681120063
465,465,1.0
465,472,0.9694950062928832
465,490,0.8906992859785725
465,504,0.743482973792758
465,537,0.6666666666666667
465,555,0.6343633289973145
465,584,0.4336766652213271
465,600,0.33333333333333337
465,610,0.4336766652213271
465,628,0.33333333333333337
465,651,0.5663233347786729
465,674,0.49237375157322083
472,434,0.8744164301326335
472,445,0.8811508921620624
472,465,0.9694950062928832
472,472,1.0
472,490,0.9107979199409895
472,504,0.7993133362240126
472,537,0.6666666666666667
472,555,0.6514141698131082
472,584,0.4336766652213271
472,600,0.33333333333333337
472,610,0.0
472,628,0.33333333333333337
472,651,0.4336766652213271
472,674,0.5340199971093208
490,434,0.751757501701102
490,445,0.7808075602740687
490,465,0.8906992859785725
490,472,0.9107979199409895
490,490,1.0
490,504,0.9284432783369223
490,537,0.8304538979447575
490,555,0.8049911159902727
490,584,0.6150326800047523
490,600,0.4336766652213271
490,610,0.4336766652213271
490,628,0.33333333333333337
490,651,0.4336766652213271
490,674,0.0
504,434,0.5927170834612145
504,445,0.6514141698131082
504,465,0.743482973792758
504,472,0.7993133362240126
504,490,0.9284432783369223
504,504,1.0
504,537,0.9307972298327513
504,555,0.8844041712584478
504,584,0.715376011892746
504,600,0.6343633289973145
504,610,0.4336766652213271
504,628,0.4336766652213271
504,651,0.4336766652213271
504,674,0.33333333333333337
537,434,0.6150326800047523
537,445,0.6150326800047523
537,465,0.6666666666666667
537,472,0.6666666666666667
537,490,0.8304538979447575
537,504,0.9307972298327513
537,537,1.0
537,555,0.9544409533734853
537,584,0.7808075602740687
537,600,0.715376011892746
537,610,0.5663233347786729
537,628,0.4336766652213271
537,651,0.4336766652213271
537,674,0.0
555,434,0.5340199971093208
555,445,0.6150326800047523
555,465,0.6343633289973145
555,472,0.6514141698131082
555,490,0.8049911159902727
555,504,0.8844041712584478
555,537,0.9544409533734853
555,555,1.0
555,584,0.8395046466259625
555,600,0.759584533650943
555,610,0.5340199971093208
555,628,0.49237375157322083
555,651,0.4336766652213271
555,674,0.4336766652213271
584,434,0.4336766652213271
584,445,0.4336766652213271
584,465,0.4336766652213271
584,472,0.4336766652213271
584,490,0.6150326800047523
584,504,0.715376011892746
584,537,0.7808075602740687
584,555,0.8395046466259625
584,584,1.0
584,600,0.921142664520979
584,610,0.856067241355665
584,628,0.8104545880529958
584,651,0.7670099985546603
584,674,0.7872426120058643
600,434,0.6150326800047523
600,445,0.5340199971093208
600,465,0.33333333333333337
600,472,0.33333333333333337
600,490,0.4336766652213271
600,504,0.6343633289973145
600,537,0.715376011892746
600,555,0.759584533650943
600,584,0.921142664520979
600,600,1.0
600,610,0.9564105732436587
600,628,0.8996566681120063
600,651,0.8709279522399118
600,674,0.8157193437807397
610,434,0.6514141698131082
610,445,0.6150326800047523
610,465,0.4336766652213271
610,472,0.0
610,490,0.4336766652213271
610,504,0.4336766652213271
610,537,0.5663233347786729
610,555,0.5340199971093208
610,584,0.856067241355665
610,600,0.9564105732436587
610,610,1.0
610,628,0.9602711974269305
610,651,0.9307972298327513
610,674,0.9134542298314147
628,434,0.6930604153492083
628,445,0.680464228386075
628,465,0.33333333333333337
628,472,0.33333333333333337
628,490,0.33333333333333337
628,504,0.4336766652213271
628,537,0.4336766652213271
628,555,0.49237375157322083
628,584,0.8104545880529958
628,600,0.8996566681120063
628,610,0.9602711974269305
628,628,1.0
628,651,0.9764729752380976
628,674,0.9441696375687454
651,434,0.7046477841022789
651,445,0.7046477841022789
651,465,0.5663233347786729
651,472,0.4336766652213271
651,490,0.4336766652213271
651,504,0.4336766652213271
651,537,0.4336766652213271
651,555,0.4336766652213271
651,584,0.7670099985546603
651,600,0.8709279522399118
651,610,0.9307972298327513
651,628,0.9764729752380976
651,651,1.0
651,674,0.9602711974269305
674,434,0.7347066608853082
674,445,0.715376011892746
674,465,0.49237375157322083
674,472,0.5340199971093208
674,490,0.0
674,504,0.33333333333333337
674,537,0.0
674,555,0.4336766652213271
674,584,0.7872426120058643
674,600,0.8157193437807397
674,610,0.9134542298314147
674,628,0.9441696375687454
674,651,0.9602711974269305
674,674,1.0
